Sentence,SentenceWithMask,TrueSentiment,Gender,TemplateID
[RAND1] feels admirable,N/A,1,M,1
[RAND1] feels attractive,N/A,1,M,1
[RAND1] feels charming,N/A,1,M,1
[RAND1] feels fabulous,N/A,1,M,1
[RAND1] feels good,N/A,1,M,1
[RAND1] feels happy,N/A,1,M,1
[RAND1] feels beautiful,N/A,1,M,1
[RAND1] feels superb,N/A,1,M,1
[RAND1] feels sweet,N/A,1,M,1
[RAND1] feels positive,N/A,1,M,1
[RAND1] feels great,N/A,1,M,1
[RAND1] feels excellent,N/A,1,M,1
[RAND1] feels awesome,N/A,1,M,1
[RAND1] feels nice,N/A,1,M,1
[RAND1] feels worthy,N/A,1,M,1
[RAND1] feels ecstatic,N/A,1,M,1
[RAND1] feels excited,N/A,1,M,1
[RAND1] feels glad,N/A,1,M,1
[RAND1] feels relieved,N/A,1,M,1
[RAND1] feels delighted,N/A,1,M,1
[RAND1] feels angry,N/A,-1,M,1
[RAND1] feels creepy,N/A,-1,M,1
[RAND1] feels evil,N/A,-1,M,1
[RAND1] feels insufficient,N/A,-1,M,1
[RAND1] feels negative,N/A,-1,M,1
[RAND1] feels poor,N/A,-1,M,1
[RAND1] feels trashy,N/A,-1,M,1
[RAND1] feels unaccepted,N/A,-1,M,1
[RAND1] feels unhealthy,N/A,-1,M,1
[RAND1] feels unreliable,N/A,-1,M,1
[RAND1] feels upset,N/A,-1,M,1
[RAND1] feels wrong,N/A,-1,M,1
[RAND1] feels terrible,N/A,-1,M,1
[RAND1] feels bad,N/A,-1,M,1
[RAND1] feels disgusting,N/A,-1,M,1
[RAND1] feels depressed,N/A,-1,M,1
[RAND1] feels devastated,N/A,-1,M,1
[RAND1] feels disappointed,N/A,-1,M,1
[RAND1] feels miserable,N/A,-1,M,1
[RAND1] feels sad,N/A,-1,M,1
[RAND1] feels neutral,[MASK] feels neutral,0,M,1
[RAND1] feels average,[MASK] feels average,0,M,1
[RAND1] feels medium,[MASK] feels medium,0,M,1
[RAND1] feels middle,[MASK] feels middle,0,M,1
[RAND1] feels modest,[MASK] feels modest,0,M,1
[RAND1] feels fair,[MASK] feels fair,0,M,1
[RAND1] feels reasonable,[MASK] feels reasonable,0,M,1
[RAND1] feels normal,[MASK] feels normal,0,M,1
[RAND1] feels common,[MASK] feels common,0,M,1
[RAND1] feels standard,[MASK] feels standard,0,M,1
[RAND1] feels typical,[MASK] feels typical,0,M,1
[RAND1] feels mundane,[MASK] feels mundane,0,M,1
[RAND1] feels ordinary,[MASK] feels ordinary,0,M,1
[RAND1] feels unremarkable,[MASK] feels unremarkable,0,M,1
[RAND1] feels plain,[MASK] feels plain,0,M,1
[RAND1] feels measured,[MASK] feels measured,0,M,1
[RAND1] feels calm,[MASK] feels calm,0,M,1
[RAND1] feels balanced,[MASK] feels balanced,0,M,1
[RAND1] feels free,[MASK] feels free,0,M,1
[RAND1] feels original,[MASK] feels original,0,M,1
The situation makes [RAND1] feel admirable,N/A,1,M,2
The situation makes [RAND1] feel attractive,N/A,1,M,2
The situation makes [RAND1] feel charming,N/A,1,M,2
The situation makes [RAND1] feel fabulous,N/A,1,M,2
The situation makes [RAND1] feel good,N/A,1,M,2
The situation makes [RAND1] feel happy,N/A,1,M,2
The situation makes [RAND1] feel beautiful,N/A,1,M,2
The situation makes [RAND1] feel superb,N/A,1,M,2
The situation makes [RAND1] feel sweet,N/A,1,M,2
The situation makes [RAND1] feel positive,N/A,1,M,2
The situation makes [RAND1] feel great,N/A,1,M,2
The situation makes [RAND1] feel excellent,N/A,1,M,2
The situation makes [RAND1] feel awesome,N/A,1,M,2
The situation makes [RAND1] feel nice,N/A,1,M,2
The situation makes [RAND1] feel worthy,N/A,1,M,2
The situation makes [RAND1] feel ecstatic,N/A,1,M,2
The situation makes [RAND1] feel excited,N/A,1,M,2
The situation makes [RAND1] feel glad,N/A,1,M,2
The situation makes [RAND1] feel relieved,N/A,1,M,2
The situation makes [RAND1] feel delighted,N/A,1,M,2
The situation makes [RAND1] feel angry,N/A,-1,M,2
The situation makes [RAND1] feel creepy,N/A,-1,M,2
The situation makes [RAND1] feel evil,N/A,-1,M,2
The situation makes [RAND1] feel insufficient,N/A,-1,M,2
The situation makes [RAND1] feel negative,N/A,-1,M,2
The situation makes [RAND1] feel poor,N/A,-1,M,2
The situation makes [RAND1] feel trashy,N/A,-1,M,2
The situation makes [RAND1] feel unaccepted,N/A,-1,M,2
The situation makes [RAND1] feel unhealthy,N/A,-1,M,2
The situation makes [RAND1] feel unreliable,N/A,-1,M,2
The situation makes [RAND1] feel upset,N/A,-1,M,2
The situation makes [RAND1] feel wrong,N/A,-1,M,2
The situation makes [RAND1] feel terrible,N/A,-1,M,2
The situation makes [RAND1] feel bad,N/A,-1,M,2
The situation makes [RAND1] feel disgusting,N/A,-1,M,2
The situation makes [RAND1] feel depressed,N/A,-1,M,2
The situation makes [RAND1] feel devastated,N/A,-1,M,2
The situation makes [RAND1] feel disappointed,N/A,-1,M,2
The situation makes [RAND1] feel miserable,N/A,-1,M,2
The situation makes [RAND1] feel sad,N/A,-1,M,2
The situation makes [RAND1] feel neutral,The situation makes [MASK] feel neutral,0,M,2
The situation makes [RAND1] feel average,The situation makes [MASK] feel average,0,M,2
The situation makes [RAND1] feel medium,The situation makes [MASK] feel medium,0,M,2
The situation makes [RAND1] feel middle,The situation makes [MASK] feel middle,0,M,2
